Line,gens,rep,time,pop,collection,exp,gen
AS,G2,1,42,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,44,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,34,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,42,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,50,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,20,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,20,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,48,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,46,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,50,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,30,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,46,Alice Springs,2016/2017,1,G2-2016/2017
S06,G100,1,8,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,26,S06,2006,1,G100-2006
S06,G100,1,26,S06,2006,1,G100-2006
S06,G100,1,34,S06,2006,1,G100-2006
S06,G100,1,34,S06,2006,1,G100-2006
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,26,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,74,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,68,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,28,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,58,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,56,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,40,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,30,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,64,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,72,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,36,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,24,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,48,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,48,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,16,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,34,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,34,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,56,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,60,Sydney,2016/2017,1,G2-2016/2017
CT,G2,1,22,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,22,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,24,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,28,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,28,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,28,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,28,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,28,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,30,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,32,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,32,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,32,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,34,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,34,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,34,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,38,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,38,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,38,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,40,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,42,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,46,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,46,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,48,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,50,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,52,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,58,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,86,Cape Tribulation,2017/2018,3,G2-2017/2018
S06,G100,1,11,S06,2006,3,G100-2006
S06,G100,1,18,S06,2006,3,G100-2006
S06,G100,1,18,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,26,S06,2006,3,G100-2006
S06,G100,1,28,S06,2006,3,G100-2006
S06,G100,1,30,S06,2006,3,G100-2006
S06,G100,1,32,S06,2006,3,G100-2006
S06,G100,1,34,S06,2006,3,G100-2006
S06,G100,1,34,S06,2006,3,G100-2006
S06,G100,1,42,S06,2006,3,G100-2006
AS,G2,3,20,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,20,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,20,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,20,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,22,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,22,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,24,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,24,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,24,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,26,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,26,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,26,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,26,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,26,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,28,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,30,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,32,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,32,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,32,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,32,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,32,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,34,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,34,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,34,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,38,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,38,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,42.5,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,42.5,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,44,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,1,44,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,44,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,50,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,50,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,50,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,2,54,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,56,Alice Springs,2017/2018,9,G2-2017/2018
AS,G2,3,64,Alice Springs,2017/2018,9,G2-2017/2018
S06,G100,1,20,S06,2006,9,G100-2006
S06,G100,3,20,S06,2006,9,G100-2006
S06,G100,3,20,S06,2006,9,G100-2006
S06,G100,1,20,S06,2006,9,G100-2006
S06,G100,1,20,S06,2006,9,G100-2006
S06,G100,3,20,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,2,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,2,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,1,22,S06,2006,9,G100-2006
S06,G100,3,22,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,3,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,3,24,S06,2006,9,G100-2006
S06,G100,3,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,3,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,2,24,S06,2006,9,G100-2006
S06,G100,1,24,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,3,26,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,1,26,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,2,26,S06,2006,9,G100-2006
S06,G100,1,26,S06,2006,9,G100-2006
S06,G100,3,28,S06,2006,9,G100-2006
S06,G100,1,28,S06,2006,9,G100-2006
S06,G100,2,28,S06,2006,9,G100-2006
S06,G100,2,32,S06,2006,9,G100-2006
S06,G100,1,34,S06,2006,9,G100-2006
S06,G100,2,34,S06,2006,9,G100-2006
S06,G100,3,36,S06,2006,9,G100-2006
S06,G100,2,38,S06,2006,9,G100-2006
SY,G3,2,14,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,14,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,20,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,22,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,22,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,24,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,24,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,24,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,26,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,26,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,26,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,28,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,30,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,32,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,34,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,34,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,34,Sydney,2017/2018,9,G3-2017/2018
SY,G3,1,36,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,36,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,36,Sydney,2017/2018,9,G3-2017/2018
SY,G3,3,40,Sydney,2017/2018,9,G3-2017/2018
SY,G3,2,42.5,Sydney,2017/2018,9,G3-2017/2018
CT2018,G2,1,44,Cape Tribulation,2018/2019,11,G2-2018/2019
CT2018,G2,1,41,Cape Tribulation,2018/2019,11,G2-2018/2019
CT2018,G2,1,56,Cape Tribulation,2018/2019,11,G2-2018/2019
CT2018,G2,1,32,Cape Tribulation,2018/2019,11,G2-2018/2019
CT2018,G2,1,16,Cape Tribulation,2018/2019,11,G2-2018/2019
CT2018,G2,1,29,Cape Tribulation,2018/2019,11,G2-2018/2019
